,UF,regiao,data,perm_media
298,Acre,Norte,2009-01-01,4.4
299,Amazonas,Norte,2009-01-01,4.8
300,Roraima,Norte,2009-01-01,4.6
301,Pará,Norte,2009-01-01,3.8
302,Amapá,Norte,2009-01-01,5.2
303,Tocantins,Norte,2009-01-01,4.6
304,Maranhão,Nordeste,2009-01-01,4.8
305,Piauí,Nordeste,2009-01-01,4.4
306,Ceará,Nordeste,2009-01-01,5.3
307,Rio Grande do Norte,Nordeste,2009-01-01,10.2
308,Paraíba,Nordeste,2009-01-01,5.2
309,Pernambuco,Nordeste,2009-01-01,24.3
310,Alagoas,Nordeste,2009-01-01,5.5
311,Sergipe,Nordeste,2009-01-01,5.1
312,Bahia,Nordeste,2009-01-01,4.4
313,Minas Gerais,Sudeste,2009-01-01,6.9
314,Espírito Santo,Sudeste,2009-01-01,6.1
315,Rio de Janeiro,Sudeste,2009-01-01,13.1
316,São Paulo,Sudeste,2009-01-01,6.7
317,Paraná,Sul,2009-01-01,5.2
318,Santa Catarina,Sul,2009-01-01,5.8
319,Rio Grande do Sul,Sul,2009-01-01,6.0
320,Mato Grosso do Sul,Centro-Oeste,2009-01-01,4.9
321,Mato Grosso,Centro-Oeste,2009-01-01,4.4
322,Goiás,Centro-Oeste,2009-01-01,5.0
323,Distrito Federal,Centro-Oeste,2009-01-01,6.7
324,Rondônia,Norte,2009-02-01,3.8
325,Acre,Norte,2009-02-01,4.5
326,Amazonas,Norte,2009-02-01,4.8
327,Roraima,Norte,2009-02-01,5.2
328,Pará,Norte,2009-02-01,3.7
329,Amapá,Norte,2009-02-01,5.2
330,Tocantins,Norte,2009-02-01,4.8
331,Maranhão,Nordeste,2009-02-01,4.7
332,Piauí,Nordeste,2009-02-01,4.3
333,Ceará,Nordeste,2009-02-01,4.9
334,Rio Grande do Norte,Nordeste,2009-02-01,5.6
335,Paraíba,Nordeste,2009-02-01,5.0
336,Pernambuco,Nordeste,2009-02-01,5.8
337,Alagoas,Nordeste,2009-02-01,5.2
338,Sergipe,Nordeste,2009-02-01,5.2
339,Bahia,Nordeste,2009-02-01,4.2
340,Minas Gerais,Sudeste,2009-02-01,5.4
341,Espírito Santo,Sudeste,2009-02-01,5.8
342,Rio de Janeiro,Sudeste,2009-02-01,8.2
343,São Paulo,Sudeste,2009-02-01,6.1
344,Paraná,Sul,2009-02-01,4.9
345,Santa Catarina,Sul,2009-02-01,5.4
346,Rio Grande do Sul,Sul,2009-02-01,5.8
347,Mato Grosso do Sul,Centro-Oeste,2009-02-01,4.7
348,Mato Grosso,Centro-Oeste,2009-02-01,4.5
349,Goiás,Centro-Oeste,2009-02-01,5.0
350,Distrito Federal,Centro-Oeste,2009-02-01,6.3
351,Rondônia,Norte,2009-03-01,3.8
352,Acre,Norte,2009-03-01,4.5
353,Amazonas,Norte,2009-03-01,4.6
354,Roraima,Norte,2009-03-01,4.7
355,Pará,Norte,2009-03-01,3.7
356,Amapá,Norte,2009-03-01,4.8
357,Tocantins,Norte,2009-03-01,4.6
358,Maranhão,Nordeste,2009-03-01,4.5
359,Piauí,Nordeste,2009-03-01,4.3
360,Ceará,Nordeste,2009-03-01,5.0
361,Rio Grande do Norte,Nordeste,2009-03-01,5.7
362,Paraíba,Nordeste,2009-03-01,5.0
363,Pernambuco,Nordeste,2009-03-01,5.2
364,Alagoas,Nordeste,2009-03-01,5.6
365,Sergipe,Nordeste,2009-03-01,4.9
366,Bahia,Nordeste,2009-03-01,4.0
367,Minas Gerais,Sudeste,2009-03-01,5.5
368,Espírito Santo,Sudeste,2009-03-01,5.3
369,Rio de Janeiro,Sudeste,2009-03-01,8.0
370,São Paulo,Sudeste,2009-03-01,6.2
371,Paraná,Sul,2009-03-01,5.0
372,Santa Catarina,Sul,2009-03-01,5.3
373,Rio Grande do Sul,Sul,2009-03-01,5.8
374,Mato Grosso do Sul,Centro-Oeste,2009-03-01,4.7
375,Mato Grosso,Centro-Oeste,2009-03-01,4.3
376,Goiás,Centro-Oeste,2009-03-01,4.6
377,Distrito Federal,Centro-Oeste,2009-03-01,6.2
378,Rondônia,Norte,2009-04-01,4.0
379,Acre,Norte,2009-04-01,4.5
380,Amazonas,Norte,2009-04-01,4.9
381,Roraima,Norte,2009-04-01,4.9
382,Pará,Norte,2009-04-01,3.8
383,Amapá,Norte,2009-04-01,4.8
384,Tocantins,Norte,2009-04-01,4.6
385,Maranhão,Nordeste,2009-04-01,4.8
386,Piauí,Nordeste,2009-04-01,4.4
387,Ceará,Nordeste,2009-04-01,5.1
388,Rio Grande do Norte,Nordeste,2009-04-01,6.0
389,Paraíba,Nordeste,2009-04-01,5.0
390,Pernambuco,Nordeste,2009-04-01,5.7
391,Alagoas,Nordeste,2009-04-01,5.4
392,Sergipe,Nordeste,2009-04-01,4.9
393,Bahia,Nordeste,2009-04-01,4.1
394,Minas Gerais,Sudeste,2009-04-01,5.4
395,Espírito Santo,Sudeste,2009-04-01,5.6
396,Rio de Janeiro,Sudeste,2009-04-01,8.2
397,São Paulo,Sudeste,2009-04-01,6.9
398,Paraná,Sul,2009-04-01,5.0
399,Santa Catarina,Sul,2009-04-01,5.4
400,Rio Grande do Sul,Sul,2009-04-01,5.9
401,Mato Grosso do Sul,Centro-Oeste,2009-04-01,4.7
402,Mato Grosso,Centro-Oeste,2009-04-01,4.4
403,Goiás,Centro-Oeste,2009-04-01,4.7
404,Distrito Federal,Centro-Oeste,2009-04-01,6.4
405,Rondônia,Norte,2009-05-01,3.8
406,Acre,Norte,2009-05-01,4.3
407,Amazonas,Norte,2009-05-01,4.8
408,Roraima,Norte,2009-05-01,4.8
409,Pará,Norte,2009-05-01,3.7
410,Amapá,Norte,2009-05-01,4.6
411,Tocantins,Norte,2009-05-01,4.5
412,Maranhão,Nordeste,2009-05-01,4.7
413,Piauí,Nordeste,2009-05-01,4.3
414,Ceará,Nordeste,2009-05-01,5.2
415,Rio Grande do Norte,Nordeste,2009-05-01,5.3
416,Paraíba,Nordeste,2009-05-01,4.9
417,Pernambuco,Nordeste,2009-05-01,5.4
418,Alagoas,Nordeste,2009-05-01,5.5
419,Sergipe,Nordeste,2009-05-01,4.7
420,Bahia,Nordeste,2009-05-01,4.1
421,Minas Gerais,Sudeste,2009-05-01,5.4
422,Espírito Santo,Sudeste,2009-05-01,5.8
423,Rio de Janeiro,Sudeste,2009-05-01,8.2
424,São Paulo,Sudeste,2009-05-01,6.2
425,Paraná,Sul,2009-05-01,5.1
426,Santa Catarina,Sul,2009-05-01,5.2
427,Rio Grande do Sul,Sul,2009-05-01,5.9
428,Mato Grosso do Sul,Centro-Oeste,2009-05-01,4.8
