,UF,regiao,data,valor_corrigido
244,Acre,Norte,2008-11-01,2968892.2423677016
245,Amazonas,Norte,2008-11-01,10930189.73154105
246,Roraima,Norte,2008-11-01,1656448.5820539172
247,Pará,Norte,2008-11-01,33431742.73496419
248,Amapá,Norte,2008-11-01,2204468.5981833967
249,Tocantins,Norte,2008-11-01,7416197.139077329
250,Maranhão,Nordeste,2008-11-01,22222774.396846548
251,Piauí,Nordeste,2008-11-01,15132387.454915104
252,Ceará,Nordeste,2008-11-01,44318230.77651415
253,Rio Grande do Norte,Nordeste,2008-11-01,14784354.879775058
254,Paraíba,Nordeste,2008-11-01,18221764.719967376
255,Pernambuco,Nordeste,2008-11-01,44127858.488915086
256,Alagoas,Nordeste,2008-11-01,13623207.20971703
257,Sergipe,Nordeste,2008-11-01,6540114.877576452
258,Bahia,Nordeste,2008-11-01,59083809.809122354
259,Minas Gerais,Sudeste,2008-11-01,125738745.10484245
260,Espírito Santo,Sudeste,2008-11-01,18940311.881487492
261,Rio de Janeiro,Sudeste,2008-11-01,62284244.3006321
262,São Paulo,Sudeste,2008-11-01,288882194.33759326
263,Paraná,Sul,2008-11-01,89962473.47562464
264,Santa Catarina,Sul,2008-11-01,45224450.246432126
265,Rio Grande do Sul,Sul,2008-11-01,87698328.64247446
266,Mato Grosso do Sul,Centro-Oeste,2008-11-01,15281487.572742114
267,Mato Grosso,Centro-Oeste,2008-11-01,13823602.026666677
268,Goiás,Centro-Oeste,2008-11-01,30051584.62587441
269,Distrito Federal,Centro-Oeste,2008-11-01,17691415.108700663
270,Rondônia,Norte,2008-12-01,3763505.2468862985
271,Acre,Norte,2008-12-01,3015573.9984358037
272,Amazonas,Norte,2008-12-01,10768622.748743458
273,Roraima,Norte,2008-12-01,1667954.0628556167
274,Pará,Norte,2008-12-01,33876278.206923254
275,Amapá,Norte,2008-12-01,2170420.728871255
276,Tocantins,Norte,2008-12-01,8018203.458708682
277,Maranhão,Nordeste,2008-12-01,20500187.500415675
278,Piauí,Nordeste,2008-12-01,14515770.294944275
279,Ceará,Nordeste,2008-12-01,43582989.49438099
280,Rio Grande do Norte,Nordeste,2008-12-01,15588155.90991095
281,Paraíba,Nordeste,2008-12-01,18034452.93296772
282,Pernambuco,Nordeste,2008-12-01,42173865.503909625
283,Alagoas,Nordeste,2008-12-01,13122148.218175093
284,Sergipe,Nordeste,2008-12-01,5793652.27668985
285,Bahia,Nordeste,2008-12-01,59600083.11679704
286,Minas Gerais,Sudeste,2008-12-01,132269271.3646927
287,Espírito Santo,Sudeste,2008-12-01,18353336.87712592
288,Rio de Janeiro,Sudeste,2008-12-01,64603321.02390454
289,São Paulo,Sudeste,2008-12-01,264577700.83679727
290,Paraná,Sul,2008-12-01,86971531.28673095
291,Santa Catarina,Sul,2008-12-01,45544347.97179694
292,Rio Grande do Sul,Sul,2008-12-01,84488132.57929781
293,Mato Grosso do Sul,Centro-Oeste,2008-12-01,13320655.76350307
294,Mato Grosso,Centro-Oeste,2008-12-01,13389617.191003885
295,Goiás,Centro-Oeste,2008-12-01,29023494.1177442
296,Distrito Federal,Centro-Oeste,2008-12-01,17201203.93565364
297,Rondônia,Norte,2009-01-01,4509286.412370903
298,Acre,Norte,2009-01-01,2978736.8562779957
299,Amazonas,Norte,2009-01-01,12024984.612137655
300,Roraima,Norte,2009-01-01,1583780.4808858035
301,Pará,Norte,2009-01-01,36122044.05417667
302,Amapá,Norte,2009-01-01,2268128.107305779
303,Tocantins,Norte,2009-01-01,8620200.926387465
304,Maranhão,Nordeste,2009-01-01,23474486.39487192
305,Piauí,Nordeste,2009-01-01,17947639.106495593
306,Ceará,Nordeste,2009-01-01,46305050.85619113
307,Rio Grande do Norte,Nordeste,2009-01-01,14958196.536091981
308,Paraíba,Nordeste,2009-01-01,19557260.414686214
309,Pernambuco,Nordeste,2009-01-01,91044043.07404172
310,Alagoas,Nordeste,2009-01-01,14284142.253814412
311,Sergipe,Nordeste,2009-01-01,6909252.607695391
312,Bahia,Nordeste,2009-01-01,63172075.08059459
313,Minas Gerais,Sudeste,2009-01-01,148372163.16289902
314,Espírito Santo,Sudeste,2009-01-01,19680780.160028934
315,Rio de Janeiro,Sudeste,2009-01-01,93406898.78956237
316,São Paulo,Sudeste,2009-01-01,286456573.8142051
317,Paraná,Sul,2009-01-01,90384552.82834122
318,Santa Catarina,Sul,2009-01-01,48028130.39328767
319,Rio Grande do Sul,Sul,2009-01-01,92976384.80163689
320,Mato Grosso do Sul,Centro-Oeste,2009-01-01,14175499.272680048
321,Mato Grosso,Centro-Oeste,2009-01-01,14625177.482934492
322,Goiás,Centro-Oeste,2009-01-01,31148553.90480315
323,Distrito Federal,Centro-Oeste,2009-01-01,18940204.833966922
324,Rondônia,Norte,2009-02-01,4384843.879090782
325,Acre,Norte,2009-02-01,2839951.5178625807
326,Amazonas,Norte,2009-02-01,11753960.59339898
327,Roraima,Norte,2009-02-01,1471875.2051557964
328,Pará,Norte,2009-02-01,32720073.469593503
329,Amapá,Norte,2009-02-01,2184130.902778396
330,Tocantins,Norte,2009-02-01,8622294.081232274
331,Maranhão,Nordeste,2009-02-01,21773432.84021018
332,Piauí,Nordeste,2009-02-01,15635110.500460187
333,Ceará,Nordeste,2009-02-01,41356544.66013197
334,Rio Grande do Norte,Nordeste,2009-02-01,15542724.97165065
335,Paraíba,Nordeste,2009-02-01,18055476.208800506
336,Pernambuco,Nordeste,2009-02-01,42435017.091480404
337,Alagoas,Nordeste,2009-02-01,12613522.047405167
338,Sergipe,Nordeste,2009-02-01,6840627.231433455
339,Bahia,Nordeste,2009-02-01,58640362.14167491
340,Minas Gerais,Sudeste,2009-02-01,123033798.03578761
341,Espírito Santo,Sudeste,2009-02-01,17183743.63601838
342,Rio de Janeiro,Sudeste,2009-02-01,59909833.027928516
343,São Paulo,Sudeste,2009-02-01,263580531.6894693
344,Paraná,Sul,2009-02-01,84828206.71104926
345,Santa Catarina,Sul,2009-02-01,44202165.81667739
346,Rio Grande do Sul,Sul,2009-02-01,78044156.74590965
347,Mato Grosso do Sul,Centro-Oeste,2009-02-01,13938750.645577937
348,Mato Grosso,Centro-Oeste,2009-02-01,13495519.956034258
349,Goiás,Centro-Oeste,2009-02-01,30091981.572282597
350,Distrito Federal,Centro-Oeste,2009-02-01,17617894.86157719
351,Rondônia,Norte,2009-03-01,5992393.446717169
352,Acre,Norte,2009-03-01,3402622.4341291143
353,Amazonas,Norte,2009-03-01,12812131.993643655
354,Roraima,Norte,2009-03-01,1912910.2328474305
355,Pará,Norte,2009-03-01,40158374.190238744
356,Amapá,Norte,2009-03-01,2497130.8789366484
357,Tocantins,Norte,2009-03-01,9413964.855823832
358,Maranhão,Nordeste,2009-03-01,26927326.93203509
359,Piauí,Nordeste,2009-03-01,19803866.523834158
360,Ceará,Nordeste,2009-03-01,51673553.88662214
361,Rio Grande do Norte,Nordeste,2009-03-01,17602905.74759012
362,Paraíba,Nordeste,2009-03-01,23729856.645701658
363,Pernambuco,Nordeste,2009-03-01,52102197.59119639
364,Alagoas,Nordeste,2009-03-01,16970194.35734249
365,Sergipe,Nordeste,2009-03-01,8898986.285116114
366,Bahia,Nordeste,2009-03-01,72858309.7671483
367,Minas Gerais,Sudeste,2009-03-01,147017180.79505953
368,Espírito Santo,Sudeste,2009-03-01,20695979.073729668
369,Rio de Janeiro,Sudeste,2009-03-01,77612791.94485107
370,São Paulo,Sudeste,2009-03-01,319970962.11365956
371,Paraná,Sul,2009-03-01,102260122.80273649
372,Santa Catarina,Sul,2009-03-01,51606728.43866034
373,Rio Grande do Sul,Sul,2009-03-01,97457447.10651872
374,Mato Grosso do Sul,Centro-Oeste,2009-03-01,17084220.948781315
375,Mato Grosso,Centro-Oeste,2009-03-01,16890702.6570263
376,Goiás,Centro-Oeste,2009-03-01,35820363.74476963
377,Distrito Federal,Centro-Oeste,2009-03-01,20538056.482155114
378,Rondônia,Norte,2009-04-01,5744293.539899681
379,Acre,Norte,2009-04-01,3274079.2067164406
380,Amazonas,Norte,2009-04-01,11368715.435980737
381,Roraima,Norte,2009-04-01,1876598.475863428
382,Pará,Norte,2009-04-01,38916070.749492794
383,Amapá,Norte,2009-04-01,2545544.2263196525
384,Tocantins,Norte,2009-04-01,9153822.768314399
385,Maranhão,Nordeste,2009-04-01,25257691.602879055
386,Piauí,Nordeste,2009-04-01,18028654.53243272
387,Ceará,Nordeste,2009-04-01,50718502.859526165
388,Rio Grande do Norte,Nordeste,2009-04-01,16744924.652926123
389,Paraíba,Nordeste,2009-04-01,22388380.55910274
390,Pernambuco,Nordeste,2009-04-01,48995576.42839823
391,Alagoas,Nordeste,2009-04-01,16295434.157113701
392,Sergipe,Nordeste,2009-04-01,7829070.809400094
393,Bahia,Nordeste,2009-04-01,70335721.66986845
394,Minas Gerais,Sudeste,2009-04-01,134116030.32428811
395,Espírito Santo,Sudeste,2009-04-01,20325233.828597203
396,Rio de Janeiro,Sudeste,2009-04-01,71840913.05985631
397,São Paulo,Sudeste,2009-04-01,318291666.50203127
398,Paraná,Sul,2009-04-01,94637181.18193758
399,Santa Catarina,Sul,2009-04-01,49759058.058237016
400,Rio Grande do Sul,Sul,2009-04-01,91903321.42545357
401,Mato Grosso do Sul,Centro-Oeste,2009-04-01,16219977.758812692
402,Mato Grosso,Centro-Oeste,2009-04-01,16057977.888312494
403,Goiás,Centro-Oeste,2009-04-01,33816425.38048701
404,Distrito Federal,Centro-Oeste,2009-04-01,20635539.426209714
405,Rondônia,Norte,2009-05-01,5573636.196343769
406,Acre,Norte,2009-05-01,3552364.5007035444
407,Amazonas,Norte,2009-05-01,11933045.511289684
408,Roraima,Norte,2009-05-01,1842486.5628462757
409,Pará,Norte,2009-05-01,37383497.70187319
410,Amapá,Norte,2009-05-01,2569982.585821388
411,Tocantins,Norte,2009-05-01,9331406.208886642
412,Maranhão,Nordeste,2009-05-01,25562838.463371735
413,Piauí,Nordeste,2009-05-01,18382300.191353
414,Ceará,Nordeste,2009-05-01,49755481.25765104
415,Rio Grande do Norte,Nordeste,2009-05-01,17453633.301721483
416,Paraíba,Nordeste,2009-05-01,23567545.882870898
417,Pernambuco,Nordeste,2009-05-01,50553080.04928107
418,Alagoas,Nordeste,2009-05-01,15991555.824971417
419,Sergipe,Nordeste,2009-05-01,8283994.159484654
420,Bahia,Nordeste,2009-05-01,71403680.00136311
421,Minas Gerais,Sudeste,2009-05-01,141709541.929008
422,Espírito Santo,Sudeste,2009-05-01,21687420.682822533
