,UF,regiao,data,valor_hospitalar,valor_corrigido
234,Rio de Janeiro,Sudeste,2008-10-01,36354641.22,67288394.55151282
235,São Paulo,Sudeste,2008-10-01,156468256.14,289605326.874836
236,Paraná,Sul,2008-10-01,50197713.35,92910380.30160329
237,Santa Catarina,Sul,2008-10-01,25562043.17,47312496.79943241
238,Rio Grande do Sul,Sul,2008-10-01,49316008.96,91278443.61123423
239,Mato Grosso do Sul,Centro-Oeste,2008-10-01,8687647.47,16079868.513850573
240,Mato Grosso,Centro-Oeste,2008-10-01,7302049.57,13515281.020860659
241,Goiás,Centro-Oeste,2008-10-01,16840556.93,31169996.488636877
242,Distrito Federal,Centro-Oeste,2008-10-01,9753123.54,18051946.129731808
243,Rondônia,Norte,2008-11-01,2125644.81,3920216.3771249447
244,Acre,Norte,2008-11-01,1609811.75,2968892.2423677016
245,Amazonas,Norte,2008-11-01,5926637.42,10930189.73154105
246,Roraima,Norte,2008-11-01,898170.15,1656448.5820539172
247,Pará,Norte,2008-11-01,18127573.48,33431742.73496419
248,Amapá,Norte,2008-11-01,1195321.07,2204468.5981833967
249,Tocantins,Norte,2008-11-01,4021257.87,7416197.139077329
250,Maranhão,Nordeste,2008-11-01,12049774.94,22222774.396846548
251,Piauí,Nordeste,2008-11-01,8205179.96,15132387.454915104
252,Ceará,Nordeste,2008-11-01,24030514.69,44318230.77651415
253,Rio Grande do Norte,Nordeste,2008-11-01,8016467.51,14784354.879775058
254,Paraíba,Nordeste,2008-11-01,9880321.87,18221764.719967376
255,Pernambuco,Nordeste,2008-11-01,23927289.81,44127858.488915086
256,Alagoas,Nordeste,2008-11-01,7386862.59,13623207.20971703
257,Sergipe,Nordeste,2008-11-01,3546222.94,6540114.877576452
258,Bahia,Nordeste,2008-11-01,32036801.44,59083809.809122354
259,Minas Gerais,Sudeste,2008-11-01,68178866.99,125738745.10484245
260,Espírito Santo,Sudeste,2008-11-01,10269937.11,18940311.881487492
261,Rio de Janeiro,Sudeste,2008-11-01,33772161.51,62284244.3006321
262,São Paulo,Sudeste,2008-11-01,156639552.01,288882194.33759326
263,Paraná,Sul,2008-11-01,48780028.05,89962473.47562464
264,Santa Catarina,Sul,2008-11-01,24521890.81,45224450.246432126
265,Rio Grande do Sul,Sul,2008-11-01,47552348.95,87698328.64247446
266,Mato Grosso do Sul,Centro-Oeste,2008-11-01,8286025.98,15281487.572742114
267,Mato Grosso,Centro-Oeste,2008-11-01,7495521.95,13823602.026666677
268,Goiás,Centro-Oeste,2008-11-01,16294762.52,30051584.62587441
269,Distrito Federal,Centro-Oeste,2008-11-01,9592752.31,17691415.108700663
270,Rondônia,Norte,2008-12-01,2046387.63,3763505.2468862985
271,Acre,Norte,2008-12-01,1639703.66,3015573.9984358037
272,Amazonas,Norte,2008-12-01,5855386.12,10768622.748743458
273,Roraima,Norte,2008-12-01,906941.89,1667954.0628556167
274,Pará,Norte,2008-12-01,18420061.12,33876278.206923254
275,Amapá,Norte,2008-12-01,1180155.69,2170420.728871255
276,Tocantins,Norte,2008-12-01,4359859.04,8018203.458708682
